age,workclass,education,marital-status,occupation,race,sex,hours-per-week,native-country,income
44,Private,11th,Married-civ-spouse,Craft-repair,White,Female,46,Philippines,<=50K
36,Local-gov,Bachelors,Never-married,Prof-specialty,White,Female,24,United-States,<=50K
46,Self-emp-inc,HS-grad,Married-AF-spouse,Craft-repair,White,Male,41,United-States,<=50K
57,Private,HS-grad,Never-married,Handlers-cleaners,Asian-Pac-Islander,Female,48,United-States,>50K
34,Private,Assoc-voc,Never-married,Adm-clerical,White,Male,18,Other,<=50K
34,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Female,52,United-States,<=50K
58,Private,Bachelors,Never-married,Priv-house-serv,White,Male,43,United-States,>50K
47,Private,HS-grad,Never-married,Sales,Black,Male,25,United-States,<=50K
31,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,37,Other,<=50K
45,Private,Masters,Widowed,Handlers-cleaners,White,Male,28,United-States,<=50K
31,Federal-gov,7th-8th,Never-married,Adm-clerical,Black,Male,40,United-States,<=50K
31,Private,Assoc-acdm,Never-married,Armed-Forces,White,Female,32,United-States,<=50K
41,Private,11th,Never-married,Priv-house-serv,White,Male,6,United-States,<=50K
17,Private,HS-grad,Married-civ-spouse,Priv-house-serv,White,Male,32,United-States,<=50K
17,Federal-gov,Masters,Married-civ-spouse,Craft-repair,White,Male,34,United-States,<=50K
30,Private,Some-college,Never-married,Priv-house-serv,Black,Male,61,United-States,<=50K
24,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,64,United-States,>50K
42,Private,9th,Separated,Sales,White,Male,47,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,33,United-States,>50K
19,Private,Preschool,Married-civ-spouse,Farming-fishing,White,Male,39,United-States,<=50K
57,Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,White,Male,42,United-States,<=50K
35,State-gov,Some-college,Never-married,Machine-op-inspct,Asian-Pac-Islander,Female,43,United-States,<=50K
38,Private,10th,Never-married,Armed-Forces,White,Male,30,United-States,<=50K
19,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,55,United-States,<=50K
30,Private,Bachelors,Divorced,Tech-support,White,Male,31,United-States,<=50K
39,Private,11th,Divorced,Prof-specialty,White,Male,41,United-States,<=50K
23,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,41,United-States,<=50K
42,Private,Some-college,Married-civ-spouse,Transport-moving,White,Male,28,United-States,<=50K
30,Self-emp-not-inc,11th,Never-married,Craft-repair,White,Female,26,United-States,<=50K
34,Local-gov,HS-grad,Divorced,Protective-serv,White,Male,16,Other,<=50K
30,Private,Prof-school,Married-civ-spouse,Farming-fishing,White,Male,29,United-States,<=50K
62,Private,Some-college,Never-married,Other-service,White,Male,45,United-States,<=50K
37,Private,Some-college,Divorced,Transport-moving,White,Male,40,United-States,<=50K
24,Never-worked,Some-college,Married-spouse-absent,Other-service,White,Male,41,United-States,<=50K
48,Private,12th,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K
22,Private,Bachelors,Divorced,Sales,White,Female,64,Philippines,<=50K
40,Private,10th,Married-civ-spouse,Other-service,White,Male,47,United-States,>50K
17,Without-pay,Bachelors,Married-civ-spouse,Protective-serv,White,Male,36,Other,<=50K
20,Private,12th,Never-married,Armed-Forces,White,Female,30,United-States,<=50K
40,Private,Masters,Never-married,Other-service,White,Male,17,United-States,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,46,United-States,<=50K
40,Private,11th,Never-married,Other-service,White,Male,40,Mexico,<=50K
36,Private,11th,Married-civ-spouse,Exec-managerial,White,Male,28,United-States,<=50K
34,Private,9th,Never-married,Craft-repair,White,Female,82,United-States,<=50K
18,State-gov,HS-grad,Divorced,Transport-moving,White,Male,43,United-States,<=50K
28,Private,Some-college,Married-spouse-absent,Machine-op-inspct,White,Male,46,United-States,<=50K
32,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
51,Private,Some-college,Never-married,Farming-fishing,White,Male,44,United-States,<=50K
42,Private,5th-6th,Married-civ-spouse,Craft-repair,White,Male,52,United-States,<=50K
17,Self-emp-not-inc,9th,Divorced,Other-service,White,Male,47,United-States,<=50K
42,Private,Some-college,Never-married,Armed-Forces,White,Female,49,United-States,<=50K
32,Self-emp-inc,Bachelors,Divorced,Farming-fishing,White,Female,51,United-States,>50K
29,Private,HS-grad,Never-married,Armed-Forces,White,Male,47,United-States,>50K
45,Without-pay,11th,Never-married,Craft-repair,White,Female,53,United-States,<=50K
51,Private,HS-grad,Never-married,Farming-fishing,White,Female,50,United-States,<=50K
50,Self-emp-not-inc,HS-grad,Never-married,Prof-specialty,White,Female,38,United-States,<=50K
27,Private,Some-college,Divorced,Exec-managerial,White,Male,50,United-States,<=50K
33,Private,HS-grad,Divorced,Protective-serv,White,Female,32,United-States,<=50K
42,Private,Bachelors,Never-married,Prof-specialty,White,Male,26,United-States,>50K
50,Private,HS-grad,Never-married,Protective-serv,White,Female,37,United-States,<=50K
31,Private,11th,Married-civ-spouse,Handlers-cleaners,White,Male,22,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Armed-Forces,White,Male,26,Other,<=50K
23,Private,HS-grad,Married-civ-spouse,Priv-house-serv,White,Female,28,United-States,<=50K
22,Private,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,53,United-States,<=50K
48,Private,Bachelors,Married-civ-spouse,Sales,White,Male,41,Other,<=50K
55,Private,11th,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K
37,Private,Preschool,Divorced,Adm-clerical,White,Male,47,United-States,<=50K
51,Self-emp-inc,Bachelors,Divorced,Tech-support,White,Male,40,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,49,United-States,<=50K
29,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,>50K
42,Private,Some-college,Never-married,Craft-repair,White,Male,29,United-States,<=50K
57,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,26,Other,<=50K
