class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,habitat
p,x,g,n,f,c,a,d,b,k,g
p,c,g,b,t,f,a,d,n,o,m
e,x,s,g,f,l,a,w,n,w,p
p,c,s,y,f,c,a,d,n,y,l
e,f,f,b,t,a,d,w,b,r,g
e,s,g,y,t,n,f,c,b,o,u
p,k,g,c,f,m,a,w,n,p,p
e,s,f,w,f,f,a,w,n,w,l
p,b,s,w,t,s,f,c,n,r,l
e,x,s,w,f,n,d,c,b,e,w
p,c,y,u,t,s,f,d,b,e,u
p,b,s,g,f,y,f,w,b,y,g
e,x,y,n,f,n,a,w,b,e,l
p,s,f,c,t,p,f,w,b,o,m
e,x,s,e,f,s,f,c,b,w,p
p,f,f,g,f,c,d,w,n,o,g
e,c,y,y,f,l,a,d,n,o,p
e,s,g,y,t,n,a,c,n,n,p
e,b,g,b,f,n,n,w,b,b,u
e,c,f,e,t,f,a,c,b,e,m
p,s,g,u,t,p,d,c,n,u,m
e,c,f,y,t,l,d,c,b,k,d
e,k,y,w,t,n,d,w,b,p,u
e,x,g,b,f,l,n,w,b,o,p
e,x,y,r,t,f,n,d,n,r,m
p,k,s,p,t,y,d,c,n,k,p
p,k,g,b,f,f,a,w,n,u,d
e,c,g,b,f,n,n,w,b,n,g
p,x,g,y,t,m,a,d,n,e,u
p,b,f,g,t,s,n,w,b,y,u
e,f,s,e,f,l,f,w,n,g,m
p,s,s,r,f,y,d,w,n,u,w
e,k,s,w,f,l,f,c,n,y,w
p,b,y,g,t,p,d,d,b,p,g
p,b,s,c,t,f,f,d,b,e,p
e,c,f,y,t,p,a,d,b,h,m
p,k,f,e,f,y,a,w,b,p,d
p,b,y,n,t,y,d,w,b,u,d
e,f,y,w,t,n,a,w,b,y,p
p,b,s,g,f,f,d,c,n,w,g
e,f,s,w,t,a,f,c,b,g,l
p,f,f,e,f,f,d,d,n,k,m
p,f,f,c,f,c,n,c,n,w,w
e,k,s,c,f,n,f,c,n,r,w
e,f,f,w,f,n,f,w,n,h,m
p,k,y,c,t,p,d,w,n,r,u
e,b,f,g,t,l,n,d,b,k,l
e,f,s,w,f,n,n,w,b,h,w
e,x,y,g,t,p,a,w,n,g,w
e,b,f,c,t,a,f,c,b,r,w
e,s,y,u,f,n,a,d,b,g,w
e,x,s,p,t,n,f,c,b,n,m
e,x,f,n,f,n,f,d,n,b,p
p,c,s,y,t,c,f,d,b,g,g
e,k,g,e,t,n,f,w,n,w,l
e,c,s,n,f,n,d,c,n,o,u
e,k,g,g,f,n,n,c,n,h,u
p,c,y,p,f,y,f,w,b,w,d
e,b,y,p,t,l,a,d,n,r,p
e,x,g,u,t,a,a,d,b,u,g
e,b,y,r,t,n,d,d,b,e,u
p,k,y,r,f,f,n,d,n,o,u
p,x,s,g,t,y,f,w,n,b,g
p,x,g,p,f,s,d,d,n,w,l
p,k,f,u,f,c,a,c,n,g,m
p,b,y,y,f,f,n,d,b,u,m
e,x,y,y,t,n,f,d,n,g,d
p,s,f,n,f,y,n,d,b,b,g
e,b,s,w,t,y,a,w,n,p,g
p,b,s,e,f,p,d,d,n,o,w
p,b,s,u,f,y,d,w,b,y,g
e,x,f,w,t,n,a,c,b,g,p
e,f,s,c,f,n,f,d,b,g,p
e,c,y,y,t,a,f,d,b,k,g
p,k,s,g,f,f,n,c,n,p,p
p,b,y,u,t,y,a,d,n,r,m
p,x,f,p,f,p,a,d,n,g,g
e,k,s,b,f,n,f,w,b,o,m
p,f,s,b,f,p,a,w,n,n,m
p,s,y,y,t,y,d,c,b,b,p
p,f,f,u,f,s,f,w,b,u,d
p,x,s,w,f,f,f,w,n,g,u
e,b,f,w,t,y,d,c,b,r,u
p,f,y,u,t,f,a,c,b,p,l
p,f,y,e,t,f,f,d,b,b,d
p,f,s,y,t,c,f,d,b,k,l
e,s,f,c,f,f,f,d,b,h,u
e,x,y,n,f,n,a,d,b,n,g
p,k,f,u,f,m,f,w,n,u,u
p,c,g,e,f,y,a,w,b,h,w
p,x,g,b,f,p,n,c,n,u,p
e,b,s,w,t,n,d,c,b,o,u
e,x,f,g,f,n,a,w,n,o,g
p,x,f,y,t,p,a,d,n,k,g
p,s,y,w,f,p,d,d,n,n,l
e,c,f,c,f,a,a,d,b,o,l
e,c,f,e,t,n,d,d,n,y,g
p,c,y,b,t,n,n,c,n,g,m
e,k,s,c,f,n,f,w,n,o,w
p,x,y,n,f,f,d,c,n,b,l
e,s,g,r,f,l,d,w,n,p,d
p,b,f,g,t,f,f,d,b,h,w
p,c,f,n,f,p,f,c,b,p,p
p,c,s,y,t,p,a,w,b,r,m
e,x,g,w,t,n,a,w,n,u,d
p,b,f,p,t,m,a,w,n,r,d
e,s,y,p,t,n,f,w,b,h,d
e,c,f,b,t,n,f,d,n,b,p
p,x,s,u,t,f,f,d,n,h,d
p,f,y,w,t,f,a,w,n,w,p
p,s,f,p,f,y,f,w,n,o,w
e,k,s,e,t,a,f,w,n,p,g
e,s,g,r,t,l,n,d,n,n,m
e,x,y,b,f,l,d,c,b,u,l
p,c,y,g,f,f,d,w,n,o,g
p,s,g,n,t,f,f,c,n,o,u
p,b,y,n,f,n,a,d,b,y,l
p,f,s,p,f,f,n,d,b,e,u
e,b,g,b,t,p,n,d,b,h,g
e,b,f,p,f,l,d,d,b,o,p
e,b,s,n,t,y,n,d,b,n,d
e,x,g,y,f,n,n,c,b,w,p
e,x,f,c,t,n,n,c,b,e,m
p,s,s,w,f,p,f,c,n,b,l
e,k,s,b,t,l,d,c,b,n,d
p,f,y,e,t,f,d,w,b,y,u
e,s,y,p,t,l,a,d,b,g,u
p,b,g,p,t,f,f,c,b,k,m
p,s,f,u,f,p,n,c,n,n,w
p,c,s,r,t,c,f,w,n,w,w
e,s,s,g,f,n,n,w,n,r,d
p,s,g,p,f,f,n,d,n,r,l
p,b,y,e,t,f,a,d,b,y,p
e,s,s,g,t,n,a,w,n,p,w
e,f,s,r,f,n,a,w,b,u,g
e,b,y,u,f,n,n,w,n,u,m
p,x,f,p,t,y,n,d,n,o,d
p,x,f,g,t,c,f,w,b,y,g
p,s,y,g,t,m,d,c,b,e,g
e,s,s,y,t,n,n,d,n,k,d
e,f,y,g,f,n,f,d,n,h,m
p,k,f,n,t,f,f,c,n,o,u
e,b,g,r,t,l,n,c,n,n,l
p,f,g,e,f,s,n,d,n,y,u
p,s,f,u,t,n,a,d,b,u,p
e,s,f,r,f,n,a,w,n,k,l
p,s,f,c,t,s,a,w,n,u,d
e,s,y,n,t,a,f,c,n,o,m
p,c,g,u,t,m,a,c,b,e,d
e,s,f,c,f,a,n,c,n,r,m
p,s,s,g,t,y,a,c,b,y,m
e,c,g,r,f,a,n,w,b,o,g
e,k,y,e,t,l,n,d,b,n,d
p,x,s,u,t,y,d,w,n,e,m
e,s,y,w,t,n,d,c,b,y,p
p,s,f,c,f,y,a,w,n,n,p
e,f,f,y,t,n,n,c,n,b,m
p,b,f,n,t,y,d,w,n,r,d
e,f,s,n,t,s,f,d,n,k,l
p,s,f,y,f,p,d,c,b,w,d
e,k,g,n,f,a,a,w,b,h,p
e,f,f,b,t,a,f,c,n,p,l
e,k,g,b,f,l,f,d,n,p,l
p,k,s,u,f,m,n,c,b,g,d
e,s,y,w,t,a,n,d,b,o,l
p,k,y,e,f,p,n,w,n,g,m
p,f,g,g,f,y,n,d,n,h,w
e,c,s,b,f,n,d,c,b,r,g
p,b,g,c,f,y,a,w,n,p,d
e,k,f,y,t,n,a,c,b,y,m
e,s,f,r,f,a,n,c,n,e,p
p,x,f,w,t,p,d,w,n,k,p
p,k,y,e,t,f,d,d,n,b,p
p,f,g,c,t,n,d,d,n,h,p
e,k,s,w,t,n,a,w,n,g,w
e,x,g,y,f,a,n,w,n,k,g
e,c,g,c,f,l,d,c,n,u,d
p,f,g,y,t,p,d,c,n,p,w
e,f,f,e,f,n,n,w,b,n,l
p,s,f,n,f,s,d,w,n,g,m
e,f,g,g,t,n,a,c,b,u,p
e,x,f,g,t,a,f,c,b,b,l
e,f,y,p,t,n,a,d,n,g,m
e,c,f,b,f,a,n,w,n,u,g
e,b,y,u,t,n,n,c,b,r,u
p,b,y,r,t,s,a,d,n,g,g
p,k,g,y,f,f,f,c,b,p,u
e,b,g,p,t,f,n,w,b,g,p
e,x,f,p,f,f,n,d,b,u,l
e,b,s,p,f,n,a,c,b,w,w
p,x,g,y,t,y,f,w,b,b,l
e,x,y,e,t,l,f,w,n,k,m
p,k,y,y,t,f,f,w,b,h,u
e,b,f,g,t,n,n,w,b,o,d
e,k,y,y,f,n,f,d,n,b,u
p,f,g,e,t,p,a,c,b,e,m
e,c,f,w,t,n,n,c,n,p,l
p,b,f,g,f,y,f,w,n,n,w
p,f,s,n,t,p,d,c,b,u,l
e,s,f,c,t,n,f,w,n,b,m
e,f,s,n,f,n,f,c,b,w,w
p,k,g,u,t,m,n,c,n,r,w
p,k,y,n,f,s,a,c,n,o,u
e,c,g,g,t,n,d,d,n,g,d
p,c,f,n,t,f,n,w,b,e,d
e,c,s,b,f,a,f,d,n,g,w
e,c,y,n,f,n,n,c,b,k,p
e,k,f,r,t,p,n,d,b,h,m
e,x,g,u,t,a,d,d,b,k,l
e,k,f,c,f,p,f,d,n,u,p
p,x,s,e,t,c,n,c,n,u,d
e,k,g,r,t,n,a,d,n,g,p
e,s,f,r,t,a,d,c,n,g,u
e,k,s,r,t,l,n,w,n,g,d
p,c,f,e,t,p,d,c,n,o,w
p,x,s,b,t,f,n,c,n,r,d
e,f,f,b,f,n,n,c,n,n,m
e,s,g,e,t,n,n,w,n,w,p
e,f,g,w,t,l,a,w,n,e,g
e,s,g,y,t,a,a,c,b,b,p
e,f,g,y,t,s,a,c,n,g,p
e,c,g,b,f,a,n,w,n,o,p
e,f,y,g,t,l,a,w,b,n,m
e,k,f,e,t,n,d,c,b,w,u
e,c,g,b,t,n,a,w,n,h,u
p,f,y,g,f,m,d,c,b,k,g
p,c,y,y,t,s,f,c,n,o,w
p,k,f,n,t,s,f,c,b,w,g
e,c,s,b,f,n,a,w,b,n,d
e,f,f,u,f,a,a,w,n,p,p
e,c,f,n,f,f,d,w,b,e,d
p,s,s,n,f,f,n,c,n,y,p
e,b,s,b,f,l,d,c,n,w,p
p,f,g,g,t,y,f,d,b,k,g
p,k,s,u,t,f,n,c,n,n,u
e,x,s,g,t,l,d,c,b,p,g
p,c,f,r,f,f,a,d,n,g,w
e,s,f,g,f,n,f,c,n,g,u
e,c,f,g,t,l,f,c,b,w,g
e,f,s,w,f,l,a,w,n,o,u
e,s,y,p,f,n,d,d,b,h,g
p,f,g,c,f,m,a,w,b,u,u
e,b,f,p,t,n,d,d,n,b,d
e,k,y,u,f,s,f,c,b,p,m
p,s,g,u,t,s,a,d,n,b,m
p,s,f,e,t,y,f,w,n,p,l
e,c,y,g,f,n,f,c,b,k,w
p,c,g,n,t,y,n,w,b,e,d
p,x,f,p,f,f,a,d,n,e,u
e,s,f,e,f,a,f,d,n,o,u
e,c,y,r,t,n,d,d,n,y,w
e,c,s,c,f,n,a,w,n,k,w
p,b,s,g,t,s,d,c,b,n,u
p,x,f,e,f,f,d,c,b,w,l
p,c,y,p,t,p,d,w,n,w,g
e,c,s,r,t,n,a,w,b,y,d
e,k,s,w,f,l,d,w,b,y,w
e,s,s,y,t,a,a,c,n,k,m
e,c,y,c,t,l,n,d,b,e,l
p,b,y,u,t,f,d,w,n,b,d
p,c,g,w,f,f,a,w,b,u,m
e,s,s,g,t,n,d,d,n,k,p
e,c,y,y,f,n,f,c,b,b,l
e,f,g,y,f,n,d,w,n,n,l
e,c,f,c,t,a,f,w,n,g,d
e,x,g,n,f,a,f,w,n,y,m
e,s,s,w,f,l,d,d,n,o,u
e,s,y,n,t,n,d,d,n,r,p
e,f,s,b,f,a,f,d,b,e,m
e,x,s,w,f,s,n,d,b,g,l
e,x,f,r,f,a,a,c,b,b,u
p,s,y,g,t,p,d,d,b,o,p
e,b,y,w,f,s,f,w,n,y,u
p,c,f,w,t,n,a,w,n,u,m
e,x,y,b,t,n,d,w,b,n,u
e,c,g,c,t,a,a,w,n,r,l
e,c,s,c,t,n,f,c,b,y,l
e,b,f,r,f,l,d,c,b,g,d
p,b,f,c,t,m,n,c,n,u,g
e,x,s,y,f,n,a,c,b,p,d
p,x,f,p,f,c,d,c,b,u,p
p,s,y,b,t,s,a,c,b,o,m
p,f,y,p,t,y,a,d,n,g,d
p,c,s,p,f,s,d,c,b,h,u
p,s,f,b,t,y,d,c,b,p,w
e,c,g,p,t,n,d,w,n,n,l
p,b,s,p,t,n,f,w,n,k,g
e,b,y,p,f,n,d,c,n,b,m
e,s,y,r,f,a,a,d,n,o,l
e,x,y,u,f,l,d,d,n,k,m
p,f,g,r,f,n,f,d,n,g,l
p,f,y,n,t,c,f,d,n,g,d
e,b,s,w,f,a,d,c,b,b,m
p,b,s,c,f,p,a,d,n,w,d
e,f,s,b,f,n,f,c,b,k,l
e,f,y,y,f,n,a,c,b,g,d
e,x,g,p,f,y,n,c,n,p,w
e,f,g,e,t,l,f,c,b,u,w
e,c,y,b,f,n,n,c,b,y,w
e,f,f,g,t,n,f,w,n,r,w
p,k,f,b,f,m,a,c,b,k,u
e,f,s,w,f,l,n,c,b,g,p
e,b,g,y,t,n,a,c,b,n,l
p,b,y,b,f,p,f,w,n,k,m
p,k,g,y,t,y,a,w,n,b,l
e,c,g,b,f,l,n,c,n,w,d
e,f,f,r,t,a,d,d,b,e,g
p,f,g,r,f,s,d,c,b,g,w
p,k,g,u,t,y,f,d,n,u,u
e,x,y,n,f,n,d,d,n,o,w
e,x,y,b,t,n,f,c,b,r,w
p,c,g,p,f,m,a,d,b,u,g
e,f,g,b,f,y,a,w,b,r,d
p,f,y,g,t,c,n,c,b,w,d
e,f,f,y,t,y,n,w,b,h,m
p,b,y,p,t,s,d,w,n,o,l
e,s,y,u,t,n,a,c,n,n,d
e,x,y,y,f,l,n,c,b,n,d
p,s,y,r,t,y,d,c,b,r,l
e,k,y,e,t,n,f,w,b,g,g
p,s,f,p,f,y,n,c,n,r,p
e,b,s,r,t,n,n,w,n,n,d
e,b,y,g,t,a,d,d,b,n,u
e,x,y,p,t,n,n,c,b,k,l
p,f,f,p,f,f,d,w,b,n,l
e,c,s,p,t,a,n,c,n,w,m
e,s,g,n,f,l,a,w,n,e,d
e,k,f,p,f,a,a,w,n,o,g
p,x,y,n,f,f,a,d,b,n,m
p,c,g,r,f,y,n,c,b,b,u
e,x,f,u,f,l,d,w,n,w,l
e,x,g,n,f,a,a,c,n,r,g
p,x,f,n,t,f,f,w,n,r,w
e,x,f,p,t,p,n,d,n,e,d
p,f,g,u,t,f,d,w,b,w,g
p,b,s,p,f,f,n,w,b,u,g
p,s,g,r,t,p,d,c,b,y,u
e,x,g,p,f,n,d,d,b,w,p
p,c,s,c,f,n,n,w,n,y,d
p,s,g,w,t,f,f,c,b,n,p
p,c,s,r,t,y,f,w,n,o,p
e,c,s,b,t,n,n,c,n,k,m
e,b,s,y,t,n,a,d,b,r,m
e,b,y,y,t,n,a,d,n,u,u
e,c,f,u,f,n,d,c,n,p,g
p,f,y,c,f,y,a,d,b,r,p
e,b,f,n,f,a,n,c,b,r,l
e,b,y,c,t,l,n,c,b,r,p
e,f,s,w,f,a,f,d,b,p,u
p,x,y,r,t,p,a,d,n,n,p
p,b,f,u,f,y,a,c,b,w,l
e,s,y,c,t,f,d,c,b,u,d
e,c,g,g,f,n,n,d,b,e,l
e,c,g,n,f,n,n,d,n,p,l
p,f,s,c,f,p,n,c,b,n,u
p,c,y,u,f,s,f,c,n,w,p
p,k,y,g,t,y,f,c,n,p,u
e,c,f,b,f,n,f,d,n,k,w
p,f,f,r,f,f,n,w,n,r,l
e,f,y,r,f,l,n,c,n,r,p
p,f,f,b,f,f,a,w,b,u,m
e,s,g,p,f,a,n,d,b,u,u
p,k,g,y,t,f,n,w,n,g,m
p,b,s,g,f,f,f,w,n,k,w
p,x,g,n,f,y,a,c,n,y,m
p,c,f,c,f,f,n,w,b,w,g
e,s,f,w,t,n,d,d,b,k,l
e,b,f,y,f,a,f,c,n,o,w
p,f,f,u,t,p,d,w,n,w,m
e,b,y,p,f,l,a,w,n,w,u
e,b,y,n,t,n,f,w,b,h,l
